,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.0058055768297436755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLY,0.0,0.004684240601508317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,0.0,0.0,0.0013318144361630553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHY,0.0,0.0,0.0,1.3943787759770828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMT,0.0,0.0,0.0,0.0,0.00328101247224707,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.0,0.0,0.0,0.00653261945476757,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0027783052486959957,0.0,0.0,0.0,0.0
GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020562875835994487,0.0,0.0,0.0
MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013663619293769982,0.0,0.0
XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004399870783066384,0.0
EME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008058099257297875
