,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
CASY,0.0050567983770820595,-0.0043368971657100465,0.0049177455514043435,-0.021274223379204427,0.003031835672324897,-0.015981743496857197,-0.007066760533451782,-0.00743835571741622
ORLY,-0.01937328090257147,0.013867032564892154,0.0005636672449354759,0.004469589617462252,0.010730364872086331,-0.026709167961443743,-0.011438865110582742,0.004908599684607812
TLT,0.009953007056298023,-0.016210793819515585,-0.004609971776644661,0.0027210984714495356,0.0018449484077139586,-0.008161702132011929,-0.0016324306954239034,0.000982333351428386
SHY,0.00031500347454417854,-0.0012524357452245345,0.00011740837917200599,2.2920439641139456e-05,-0.0008830124199926341,-0.00013430159722551175,-0.0004990598828304205,0.0004968705537623131
LMT,-0.05649475062160417,0.003072130521266794,-0.05001528477956175,-0.02635236516542358,0.00025404038957104087,0.015983201216847754,0.019923790601320136,-0.018466816241506544
DE,0.02277174503954501,-0.03758641766873929,-0.028658119907247245,-0.005996170355460994,-0.03395526972813202,0.008289219903480291,0.013598047536509315,0.0028953112192341758
MO,0.009039045855663326,-0.024917201378477485,-0.013336542482010385,-0.020977157436545737,-0.0017030661029354766,0.00016385014740972624,1.0224822318683391e-05,-0.0014197576086363497
GLD,-0.020027828405572663,-0.0032269849227657883,-0.027860699430395836,-0.009580999996785881,-0.019510410802521992,0.004515279302308427,-0.006873007697257371,0.0038966718120210814
MS,-0.00766993673363334,0.0293228882370536,0.024129370023236736,0.01244910261564826,-0.03189001032547022,-0.02385435938170169,-0.022363039357024262,0.003754882289069963
XOM,-0.018948992337932444,-0.009148507310814078,-0.019325203096931868,-0.0035723779280164543,0.001223219177744258,0.018512457246775433,0.020156666817807336,-0.02490126112060867
EME,0.01746697021001371,-0.024607007763992238,-0.001004517749489296,-0.031215397873445076,-0.027117771413980668,0.0010087198422380175,-0.028959448342714883,-0.008455093764261424
