,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.04681158967499517,0.005003270165604102,0.0011866611365751118,0.00020715539513597455,-0.0004959078314906042,0.002772432890287948,0.0077559520729503255,0.00404606723019043,0.011536017458754523,-0.00697026719283331,0.020674501448447673
ORLY,0.005003270165604103,0.04191864476378708,-0.0001870293745833448,0.0001235094224422314,0.00034226031286002016,-0.006844052445415487,-0.0007309010905013265,0.005667139306855707,0.013748566393608368,-0.009238074072247497,0.005461490946729216
TLT,0.001186661136575112,-0.0001870293745833456,0.010119820480417327,0.00019729586701779813,0.0022014948759354787,0.0069311046335933215,0.0040857769779722095,0.002771743423544041,-0.0026113145763013964,0.0010814575316727823,0.003954563705988125
SHY,0.00020715539513597458,0.00012350942244223134,0.00019729586701779808,0.003942935796867011,-1.873863271707775e-05,0.0006139441956400489,0.0003648010803324072,0.00044392818118687633,0.0003361041370989772,-0.00026457719805614445,0.0007556588959966095
LMT,-0.0004959078314906044,0.00034226031286002125,0.002201494875935479,-1.8738632717077667e-05,0.15182513058956104,0.027424191277121625,0.021173240231962768,0.035574815145450946,-0.03992721477798175,0.04867807326624652,-0.0008245292094772408
DE,0.0027724328902879484,-0.006844052445415488,0.006931104633593322,0.0006139441956400492,0.02742419127712162,0.11343252885389166,0.016854493587154632,0.018082560724998455,-0.01001733313767329,0.014876803825970116,0.01465055056814426
MO,0.00775595207295033,-0.0007309010905013273,0.0040857769779722095,0.0003648010803324073,0.021173240231962768,0.01685449358715463,0.05784744600022266,0.012221164199117554,-0.009171304509323136,0.007550820130343762,0.016201182957269293
GLD,0.00404606723019043,0.005667139306855708,0.0027717434235440402,0.00044392818118687633,0.035574815145450946,0.018082560724998455,0.01222116419911755,0.06156896084359462,-0.0019657402449489206,0.008833649984559188,0.014722842576800062
MS,0.011536017458754525,0.013748566393608365,-0.002611314576301395,0.00033610413709897713,-0.039927214777981744,-0.01001733313767329,-0.009171304509323136,-0.0019657402449489224,0.1034761125646706,-0.033429818159488485,0.020160864383513232
XOM,-0.006970267192833311,-0.009238074072247493,0.001081457531672781,-0.0002645771980561445,0.04867807326624652,0.01487680382597011,0.007550820130343759,0.008833649984559185,-0.033429818159488485,0.08042876724268398,-0.012715197518371238
EME,0.020674501448447673,0.005461490946729217,0.003954563705988126,0.0007556588959966094,-0.0008245292094772403,0.014650550568144252,0.016201182957269293,0.014722842576800062,0.020160864383513232,-0.012715197518371236,0.13548072799602753
