,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.03272917428693968,0.010773511412979333,0.0017928546807394821,-7.424538463199512e-05,0.005328044354336163,0.013984443671526374,0.009609754708241356,0.002744613971083224,0.0037348990652994844,0.010889173474987204,0.010370211663938063
ORLY,0.010773511412979333,0.027240559783244606,0.0010285099297800632,0.00014030839783922693,-0.00022724979352397987,0.007860808849141013,0.012298060843886259,0.004423090635442908,0.002339848005785766,0.0015311646999231821,0.010512958823554705
TLT,0.0017928546807394821,0.0010285099297800632,0.0056510331740884856,0.00045277876433791824,0.003407052762825823,0.00517990986447654,0.0030312040036974434,0.005358386023578402,0.00038538637579092094,-0.0008111738097117212,0.0034837409184788576
SHY,-7.424538463199512e-05,0.00014030839783922693,0.00045277876433791824,0.0019031423839114957,0.0005969209415340225,0.0006805552273791206,0.0005277265710636474,0.0011495430077537773,0.0002912376720048368,-0.0004122329790245334,0.00035593917514498347
LMT,0.005328044354336163,-0.00022724979352397987,0.003407052762825823,0.0005969209415340225,0.04082509421344705,0.024265523970502634,0.01314438176989449,0.016805839662470356,-0.001789729085482582,0.015986600826427423,0.0186664236537829
DE,0.013984443671526374,0.007860808849141013,0.00517990986447654,0.0006805552273791206,0.024265523970502634,0.06223097065935893,0.023321834206734546,0.011763706963245336,-0.008303023798504049,0.023376290061043963,0.02820572538497504
MO,0.009609754708241356,0.012298060843886259,0.0030312040036974434,0.0005277265710636474,0.01314438176989449,0.023321834206734546,0.03315039047592264,0.006817842998191016,-0.00852703560328585,0.012301011629009121,0.016578783729725623
GLD,0.002744613971083224,0.004423090635442908,0.005358386023578402,0.0011495430077537773,0.016805839662470356,0.011763706963245336,0.006817842998191016,0.03766787538214538,0.005323879692930948,-0.002720643882729399,0.012195435127557783
MS,0.0037348990652994844,0.002339848005785766,0.00038538637579092094,0.0002912376720048368,-0.001789729085482582,-0.008303023798504049,-0.00852703560328585,0.005323879692930948,0.04525168100399197,-0.013646660074026954,0.019328572450006402
XOM,0.010889173474987204,0.0015311646999231821,-0.0008111738097117212,-0.0004122329790245334,0.015986600826427423,0.023376290061043963,0.012301011629009121,-0.002720643882729399,-0.013646660074026954,0.035086194263972116,0.01258761740245121
EME,0.010370211663938063,0.010512958823554705,0.0034837409184788576,0.00035593917514498347,0.0186664236537829,0.02820572538497504,0.016578783729725623,0.012195435127557783,0.019328572450006402,0.01258761740245121,0.07444314371694276
