,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.005732195590035724,7.958574460026409e-05,-0.0016491952004034406,0.000545651795158891,0.005377048362047511,-0.0016224780896150588,-0.00753272956818043,0.01795364260270777,0.0005772299937738317,-0.006331163912418796,0.0024297590543755038
ORLY,7.958574460026409e-05,1.104967659266314e-06,-2.2897409195779302e-05,7.5758239104190205e-06,7.46548841405662e-05,-2.252646910445422e-05,-0.00010458433982925711,0.0002492681891921654,8.014255295118058e-06,-8.790181462615284e-05,3.373474971402761e-05
TLT,-0.0016491952004034406,-2.2897409195779302e-05,0.00047448569510811004,-0.00015698806984741355,-0.001547016707950587,0.0004667989841107676,0.0021672221847026723,-0.0051653961811096985,-0.00016607335187855622,0.001821522830707086,-0.0006990597071702343
SHY,0.000545651795158891,7.5758239104190205e-06,-0.00015698806984741355,5.194098437214435e-05,0.0005118450766940968,-0.00015444484897608098,-0.0007170459114251007,0.0017090200712686404,5.494693566802801e-05,-0.0006026680178641589,0.00023129050099550074
LMT,0.005377048362047511,7.46548841405662e-05,-0.001547016707950587,0.0005118450766940968,0.005043904841289205,-0.0015219548979430858,-0.007066027414825008,0.016841296329365936,0.0005414667981569925,-0.005938906656343462,0.0022792194959660277
DE,-0.0016224780896150588,-2.252646910445422e-05,0.0004667989841107676,-0.00015444484897608098,-0.0015219548979430858,0.0004592367985239187,0.0021321129901103186,-0.005081716297732138,-0.0001633829486200142,0.0017920139967863573,-0.0006877348769502629
MO,-0.00753272956818043,-0.00010458433982925711,0.0021672221847026723,-0.0007170459114251007,-0.007066027414825008,0.0021321129901103186,0.009898827396255349,-0.02359304255511593,-0.0007585431050711319,0.00831983920558732,-0.003192968136723054
GLD,0.01795364260270777,0.0002492681891921654,-0.0051653961811096985,0.0017090200712686404,0.016841296329365936,-0.005081716297732138,-0.02359304255511593,0.05623208029852914,0.001807925226032634,-0.019829653813682884,0.0076101774595376485
MS,0.0005772299937738317,8.014255295118058e-06,-0.00016607335187855622,5.494693566802801e-05,0.0005414667981569925,-0.0001633829486200142,-0.0007585431050711319,0.001807925226032634,5.8126848688019254e-05,-0.0006375458841808002,0.000244675845720809
XOM,-0.006331163912418796,-8.790181462615284e-05,0.001821522830707086,-0.0006026680178641589,-0.005938906656343462,0.0017920139967863573,0.00831983920558732,-0.019829653813682884,-0.0006375458841808002,0.006992719605658862,-0.002683649327611156
EME,0.0024297590543755038,3.373474971402761e-05,-0.0006990597071702343,0.00023129050099550074,0.0022792194959660277,-0.0006877348769502629,-0.003192968136723054,0.0076101774595376485,0.000244675845720809,-0.002683649327611156,0.0010299245672255482
