,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.046208369751275936,0.015813559786358837,0.0030027982082934885,0.00020512647472402596,0.006190205589063895,0.019291859588236274,0.018938157700960415,0.008413450613519178,0.01704926446578769,0.0036056516404906515,0.030796873521094816
ORLY,0.015813559786358844,0.034104872398050205,0.001971969650763749,0.0004000514830097593,0.0003477391912582958,0.006503029050927298,0.014317878677708104,0.01127772841355634,0.013255506362210385,-0.006223775504097638,0.017037436541007384
TLT,0.003002798208293488,0.0019719696507637494,0.005857058612062373,0.0006466153241379244,0.007453197203299812,0.0105109341462636,0.0066642190930533245,0.009459249332394951,-0.0005881385122091516,-1.8984639992367404e-05,0.0075588512637142094
SHY,0.00020512647472402604,0.0004000514830097593,0.0006466153241379244,0.00013238339553566292,0.0006868252330465051,0.0012276299307578513,0.0008958818712487372,0.0017417544528646385,0.0006895930336328677,-0.0007738897064963171,0.0011059712473444738
LMT,0.006190205589063895,0.00034773919125829367,0.007453197203299812,0.0006868252330465052,0.1418158685765467,0.05803796862707696,0.038772276759971296,0.05517310400930803,-0.04202376688438604,0.06826318065016472,0.022787457033163656
DE,0.019291859588236274,0.006503029050927298,0.0105109341462636,0.0012276299307578515,0.05803796862707696,0.09430975863330675,0.039699194919235625,0.03322549841372376,-0.009859376507284098,0.03675704700858377,0.047619174589874476
MO,0.018938157700960415,0.014317878677708104,0.0066642190930533245,0.0008958818712487372,0.038772276759971296,0.039699194919235625,0.04749837460158702,0.0216836851120709,-0.012176399935279277,0.01928681528647664,0.03493169873623328
GLD,0.008413450613519178,0.011277728413556341,0.009459249332394951,0.0017417544528646385,0.05517310400930803,0.03322549841372376,0.0216836851120709,0.0636931955908651,0.002090501044729091,0.006688575967973718,0.027455084636902775
MS,0.01704926446578769,0.013255506362210385,-0.0005881385122091506,0.0006895930336328677,-0.04202376688438604,-0.009859376507284098,-0.012176399935279277,0.002090501044729091,0.09592758627469054,-0.0455346661037136,0.048125347807552385
XOM,0.003605651640490654,-0.006223775504097638,-1.8984639992367404e-05,-0.0007738897064963171,0.06826318065016473,0.03675704700858376,0.01928681528647664,0.006688575967973721,-0.04553466610371361,0.07315220216518352,0.0010371213300847948
EME,0.030796873521094816,0.01703743654100738,0.00755885126371421,0.0011059712473444738,0.022787457033163663,0.047619174589874476,0.03493169873623328,0.027455084636902768,0.048125347807552385,0.001037121330084796,0.12223013308349963
