,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.032620681222908315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLY,0.0,0.030369848374943054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,0.0,0.0,0.007403711635572619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHY,0.0,0.0,0.0,0.003910975586585289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMT,0.0,0.0,0.0,0.0,0.05457541084763555,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.0,0.0,0.0,0.07510439630531902,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0,0.0,0.043428064476188855,0.0,0.0,0.0,0.0
GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03743100863980572,0.0,0.0,0.0
MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05040015595566419,0.0,0.0
XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04350768948648801,0.0
EME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09101611525159961
