,portfolio_weight,asset_stress_return,weighted_stress_contribution
CASY,0.13403865961340386,-0.06368747744499781,-0.008536584110886397
ORLY,0.22935770642293582,-0.061841775454241577,-0.014183887779307057
TLT,0.0,-0.005447181179289183,-0.0
SHY,0.0,-0.0036635053562940932,-0.0
LMT,0.11049889501104986,-0.06694486240636582,-0.007397333322570195
DE,0.038569614303856914,-0.09927454390232247,-0.0038289808685038882
MO,0.10923890761092384,-0.07723185298645317,-0.00843672325300761
GLD,0.2823671763282368,-0.039948139523961715,-0.011280043356947505
MS,0.004269957300426902,-0.12829000747394054,-0.0005477928539851742
XOM,0.0,-0.09984297321946582,-0.0
EME,0.09165908340916594,-0.09872624519117588,-0.009049157142651759
