,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.0321711687549946,0.004158700976393848,0.0033824764757498897,0.00047377113830382217,0.022873607273658336,0.014873483760007102,0.023498998306492533,0.010444188115019596,-0.01319568188197404,0.003986136187249319,0.007364062491629358
ORLY,0.004158700976393848,0.04333523238569348,0.0011133576425117165,0.0002444528772448168,-0.012629746728731028,-0.02036898512361059,-0.007893181173484443,0.00443193814760686,0.010697627841664151,-0.00984427078487741,-0.030023953693509933
TLT,0.0033824764757498897,0.0011133576425117165,0.01466547373728374,0.00015700408725780174,0.003719878361967565,0.0039751655596793715,0.0054839326159562655,0.0016443904484780049,-0.0036144041819699594,0.0020101502303940316,-0.0008987624055732521
SHY,0.00047377113830382217,0.0002444528772448168,0.00015700408725780174,0.01222990423102549,0.0004913065815551819,-0.00042043859135354575,0.0005811200389243832,0.0002620297812189839,-0.0011215260655766744,-0.0011142078529368814,-0.0009382854084879239
LMT,0.022873607273658336,-0.012629746728731028,0.003719878361967565,0.0004913065815551819,0.11154623031906656,0.08772209519386102,0.0746065997375135,0.03019231258729535,-0.005365976724051781,0.04666017854453236,0.07289019500349407
DE,0.014873483760007102,-0.02036898512361059,0.0039751655596793715,-0.00042043859135354575,0.08772209519386102,0.12844204866390915,0.06668075767475437,0.03200487464043354,0.014781295453661228,0.059808628883814094,0.08293266552736961
MO,0.023498998306492533,-0.007893181173484443,0.0054839326159562655,0.0005811200389243832,0.0746065997375135,0.06668075767475437,0.08601090279422026,0.017516652765342252,-0.009739319182576225,0.02833047920342849,0.06394290852539011
GLD,0.010444188115019596,0.00443193814760686,0.0016443904484780049,0.0002620297812189839,0.03019231258729535,0.03200487464043354,0.017516652765342252,0.036449613609013366,-0.0007492525995898921,0.014413492384634368,0.008197706721782584
MS,-0.01319568188197404,0.010697627841664151,-0.0036144041819699594,-0.0011215260655766744,-0.005365976724051781,0.014781295453661228,-0.009739319182576225,-0.0007492525995898921,0.0717315074312818,0.018341019788684205,0.031909116912799025
XOM,0.003986136187249319,-0.00984427078487741,0.0020101502303940316,-0.0011142078529368814,0.04666017854453236,0.059808628883814094,0.02833047920342849,0.014413492384634368,0.018341019788684205,0.07839993937174225,0.05185283275513213
EME,0.007364062491629358,-0.030023953693509933,-0.0008987624055732521,-0.0009382854084879239,0.07289019500349407,0.08293266552736961,0.06394290852539011,0.008197706721782584,0.031909116912799025,0.05185283275513213,0.15968186270490006
