,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
CASY,0.005,-0.004,0.005,-0.021,0.003,-0.016,-0.007,-0.007
ORLY,-0.019,0.014,0.001,0.004,0.011,-0.027,-0.011,0.005
TLT,0.01,-0.016,-0.005,0.003,0.002,-0.008,-0.002,0.001
SHY,0.0,-0.001,0.0,0.0,-0.001,-0.0,-0.0,0.0
LMT,-0.056,0.003,-0.05,-0.026,0.0,0.016,0.02,-0.018
DE,0.023,-0.038,-0.029,-0.006,-0.034,0.008,0.014,0.003
MO,0.009,-0.025,-0.013,-0.021,-0.002,0.0,0.0,-0.001
GLD,-0.02,-0.003,-0.028,-0.01,-0.02,0.005,-0.007,0.004
MS,-0.008,0.029,0.024,0.012,-0.032,-0.024,-0.022,0.004
XOM,-0.019,-0.009,-0.019,-0.004,0.001,0.019,0.02,-0.025
EME,0.017,-0.025,-0.001,-0.031,-0.027,0.001,-0.029,-0.008
