forecast_date,realized_start_date,realized_end_date,predicted_volatility,realized_volatility,forecast_error
2013-02-05,2013-02-06,2014-02-05,0.0711,0.0984,0.0273
2013-03-07,2013-03-08,2014-03-07,0.0607,0.0976,0.0369
2013-04-08,2013-04-09,2014-04-08,0.0757,0.1027,0.027
2013-05-07,2013-05-08,2014-05-07,0.0599,0.0928,0.0329
2013-06-06,2013-06-07,2014-06-06,0.0685,0.0882,0.0198
2013-07-08,2013-07-09,2014-07-08,0.0722,0.0801,0.0079
2013-08-06,2013-08-07,2014-08-06,0.0697,0.0862,0.0165
2013-09-05,2013-09-06,2014-09-05,0.0669,0.083,0.0161
2013-10-04,2013-10-07,2014-10-03,0.0692,0.0815,0.0122
2013-11-04,2013-11-05,2014-11-04,0.0663,0.0832,0.0169
2013-12-04,2013-12-05,2014-12-04,0.0637,0.0819,0.0181
2014-01-06,2014-01-07,2015-01-06,0.0663,0.0867,0.0205
2014-02-05,2014-02-06,2015-02-05,0.0802,0.0924,0.0123
2014-03-07,2014-03-10,2015-03-06,0.0796,0.0925,0.0129
2014-04-07,2014-04-08,2015-04-07,0.0716,0.093,0.0214
2014-05-07,2014-05-08,2015-05-07,0.0684,0.0954,0.027
2014-06-06,2014-06-09,2015-06-05,0.0658,0.1008,0.035
2014-07-08,2014-07-09,2015-07-08,0.0688,0.1008,0.032
2014-08-06,2014-08-07,2015-08-06,0.0638,0.0993,0.0354
2014-09-05,2014-09-08,2015-09-04,0.063,0.1171,0.0541
2014-10-06,2014-10-07,2015-10-06,0.0686,0.1097,0.041
2014-11-04,2014-11-05,2015-11-04,0.0747,0.116,0.0413
2014-12-04,2014-12-05,2015-12-04,0.0739,0.1197,0.0458
2015-01-06,2015-01-07,2016-01-06,0.0743,0.1196,0.0453
2015-02-05,2015-02-06,2016-02-05,0.0717,0.1222,0.0505
2015-03-09,2015-03-10,2016-03-09,0.0699,0.1144,0.0446
2015-04-08,2015-04-09,2016-04-08,0.0655,0.1136,0.0481
2015-05-07,2015-05-08,2016-05-06,0.0657,0.109,0.0433
2015-06-08,2015-06-09,2016-06-08,0.073,0.1119,0.0389
2015-07-08,2015-07-09,2016-07-08,0.0715,0.1082,0.0367
2015-08-06,2015-08-07,2016-08-05,0.0765,0.1147,0.0382
2015-09-04,2015-09-08,2016-09-02,0.077,0.1057,0.0288
2015-10-06,2015-10-07,2016-10-06,0.0765,0.1099,0.0334
2015-11-04,2015-11-05,2016-11-04,0.077,0.1168,0.0398
2015-12-04,2015-12-07,2016-12-02,0.0708,0.1062,0.0354
2016-01-06,2016-01-07,2017-01-06,0.0735,0.1029,0.0293
2016-02-05,2016-02-08,2017-02-03,0.0751,0.1029,0.0278
2016-03-08,2016-03-09,2017-03-08,0.0668,0.0953,0.0285
2016-04-07,2016-04-08,2017-04-07,0.0582,0.0914,0.0333
2016-05-06,2016-05-09,2017-05-05,0.053,0.0939,0.0409
2016-06-07,2016-06-08,2017-06-07,0.0534,0.089,0.0357
2016-07-07,2016-07-08,2017-07-07,0.06,0.0934,0.0334
2016-08-05,2016-08-08,2017-08-04,0.0617,0.1089,0.0472
2016-09-06,2016-09-07,2017-09-06,0.0728,0.0997,0.0269
