,Regime Tightness Risk,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock,Specific Risk
2013-02-05,0.1636,0.0034,0.131,0.0049,0.0344,-0.0005,0.6631
2013-03-07,0.1339,0.0092,0.1707,0.0013,0.0246,-0.0004,0.6609
2013-04-08,0.1109,0.0556,0.1007,0.0105,0.0155,0.0007,0.7062
2013-05-07,0.1071,0.0149,0.07,0.008,0.0,0.0001,0.7999
2013-06-06,0.2561,0.0637,0.0292,0.001,-0.0024,0.0258,0.6265
2013-07-08,0.1466,0.3183,-0.0028,0.0178,0.001,0.0001,0.519
2013-08-06,0.2028,0.2084,0.003,0.01,0.0001,0.001,0.5746
2013-09-05,0.31,0.1871,-0.001,0.0026,0.0008,0.006,0.4944
2013-10-04,0.3166,0.0937,0.014,0.026,0.0044,0.0017,0.5437
2013-11-04,0.3077,0.1078,0.0243,0.0139,0.0052,0.0133,0.5278
2013-12-04,0.3215,0.0729,0.0274,0.0288,0.0026,0.0006,0.5461
2014-01-06,0.3313,0.034,0.0196,0.0387,0.0015,0.0021,0.5728
2014-02-05,0.3896,0.0863,0.024,0.0137,0.0348,0.0001,0.4515
2014-03-07,0.259,0.0691,0.002,0.0009,0.0456,0.0004,0.6231
2014-04-07,0.279,0.0972,0.0059,0.0112,0.0368,0.0008,0.569
2014-05-07,0.2436,0.124,-0.0031,0.0091,0.0626,0.0082,0.5557
2014-06-06,0.286,0.1055,-0.0041,0.0153,0.0586,0.0018,0.5368
2014-07-08,0.2848,0.1342,-0.005,0.0269,0.0634,0.005,0.4907
2014-08-06,0.2572,0.1686,-0.0039,0.0535,0.0322,0.0074,0.485
2014-09-05,0.2741,0.1083,0.0024,0.0016,0.064,0.0012,0.5485
2014-10-06,0.3039,0.1659,0.0166,0.0258,0.1556,0.0008,0.3314
2014-11-04,0.461,0.0662,0.0076,0.0155,0.0003,0.006,0.4433
2014-12-04,0.312,-0.0002,0.0273,0.0059,0.2523,-0.0002,0.4028
2015-01-06,0.2151,0.0786,-0.0204,0.0455,0.3568,0.0,0.3243
2015-02-05,0.1882,0.0293,0.0019,0.0228,0.2436,0.0025,0.5117
2015-03-09,0.3668,-0.0058,0.0185,0.0314,0.0874,0.0189,0.4827
2015-04-08,0.2024,0.0154,0.0364,0.0117,0.1043,0.1283,0.5015
2015-05-07,0.2138,0.0074,0.0903,-0.0108,0.1263,0.1197,0.4532
2015-06-08,0.2827,-0.0001,0.0096,-0.0086,0.2531,0.0289,0.4344
2015-07-08,0.3905,0.0095,0.001,0.019,0.1635,0.0013,0.4153
2015-08-06,0.47,0.0232,0.0053,0.001,0.0755,-0.0059,0.4309
2015-09-04,0.4264,0.0616,0.0411,0.0076,-0.0001,0.0031,0.4603
2015-10-06,0.3854,0.001,-0.0001,0.0034,0.0344,0.0059,0.57
2015-11-04,0.461,0.0032,-0.0002,0.0011,-0.0098,0.0087,0.5359
2015-12-04,0.4093,0.0023,-0.0059,0.0494,0.0175,-0.0002,0.5278
2016-01-06,0.3013,0.005,0.0096,0.0982,0.0147,0.0004,0.5708
2016-02-05,0.2913,0.0194,-0.0143,0.1038,0.0014,0.0001,0.5984
2016-03-08,0.1157,0.0842,0.0334,0.0971,-0.0,0.0012,0.6684
2016-04-07,0.0749,0.1409,-0.0182,0.1449,-0.0008,0.0184,0.64
2016-05-06,0.0639,0.1113,-0.0098,0.1278,-0.0118,0.0207,0.6979
2016-06-07,0.0276,0.1265,-0.0044,0.038,-0.0021,0.1431,0.6712
2016-07-07,0.2071,0.0047,0.0235,0.0117,-0.0023,0.1306,0.6246
2016-08-05,0.2584,0.0146,0.0003,0.0008,0.0007,0.118,0.6072
2016-09-06,0.1298,0.0748,0.1837,-0.0067,0.1024,0.0176,0.4983
2016-10-05,0.1893,0.0936,0.1396,-0.002,0.1031,0.0104,0.4661
2016-11-03,0.254,0.0301,0.0862,0.0056,0.0977,-0.0007,0.5271
2016-12-05,0.1418,0.0304,0.1431,0.0394,0.0487,-0.0003,0.597
2017-01-05,0.1638,0.0064,0.1673,0.0298,0.0354,0.0003,0.597
2017-02-06,0.0844,-0.0027,0.2477,0.0111,0.0124,0.0008,0.6463
2017-03-08,0.0883,0.0111,0.2562,-0.0155,0.0089,0.0015,0.6495
2017-04-06,0.1447,0.0048,0.2923,-0.0265,0.0128,-0.0001,0.5719
2017-05-08,0.0824,0.0338,0.1257,-0.0035,0.006,0.0134,0.7421
2017-06-07,0.1214,0.0765,0.0278,0.0023,0.0145,0.0047,0.7529
2017-07-07,0.2578,0.0735,0.0267,-0.0019,0.0134,0.005,0.6255
2017-08-07,0.1393,0.0779,0.0158,0.016,0.0307,0.0072,0.7129
2017-09-06,0.1312,0.0975,0.0127,-0.0009,0.0182,0.0022,0.7392
2017-10-05,0.0929,0.0686,0.0706,-0.0049,0.0156,0.0009,0.7562
2017-11-03,0.0105,0.0156,0.022,0.1277,0.0056,0.0368,0.7818
2017-12-05,0.1224,0.0003,0.022,0.2067,0.0007,0.0914,0.5565
2018-01-05,0.0854,0.0079,0.0167,0.2712,0.0034,0.0432,0.5722
2018-02-06,0.5547,0.0488,0.0334,0.1149,0.0005,-0.0104,0.2581
2018-03-08,0.3631,0.0349,0.0804,0.1279,0.0167,0.0205,0.3564
2018-04-09,0.1287,0.0128,0.0085,0.0642,0.1332,0.0048,0.6479
2018-05-08,0.1267,0.0,0.0007,0.0863,0.105,0.0006,0.6808
2018-06-07,0.0836,0.0002,-0.0019,0.1144,0.142,0.0046,0.6573
2018-07-09,0.1011,0.0006,0.0432,0.0354,0.1824,0.0039,0.6335
2018-08-07,0.1594,0.0003,0.0086,-0.0,0.1396,0.0015,0.6906
2018-09-06,0.0794,0.0037,0.0339,0.0116,0.2194,0.0259,0.626
2018-10-05,0.2679,0.055,0.1211,0.0016,0.0541,-0.0004,0.5007
2018-11-05,0.2223,0.0488,0.1648,0.0001,0.0001,0.0076,0.5564
2018-12-06,0.4379,0.0014,0.1791,0.003,0.0008,0.0004,0.3776
2019-01-08,0.0898,0.0129,0.4208,0.0266,0.0967,-0.0,0.3534
2019-02-07,0.2823,0.0024,0.2942,0.0456,0.021,-0.0017,0.3563
2019-03-11,0.277,0.0096,0.2225,0.1089,0.0079,0.0045,0.3696
2019-04-09,0.2101,0.0203,0.1832,0.1472,0.0147,-0.0003,0.4247
2019-05-09,0.1387,0.0442,0.0944,0.1386,0.0068,0.0218,0.5554
2019-06-10,0.0065,0.011,0.2863,0.1445,0.0095,-0.0002,0.5424
2019-07-10,0.0281,0.0173,0.1532,0.0639,0.0001,0.0,0.7374
2019-08-08,0.0303,0.0464,0.2023,0.1375,-0.0042,0.0007,0.5869
2019-09-09,0.1184,0.0014,0.0474,0.0683,0.0026,0.0063,0.7555
2019-10-08,0.2347,-0.0003,0.001,0.0127,0.0005,0.0044,0.7471
2019-11-06,0.2994,0.0016,0.0055,0.0355,0.0002,0.0074,0.6504
2019-12-06,0.2096,0.0694,-0.002,0.0675,0.0012,0.0049,0.6495
2020-01-08,0.1957,0.0495,0.0002,0.0177,0.0109,0.0001,0.726
2020-02-07,0.1248,0.3481,0.0087,-0.0078,0.0288,0.0117,0.4857
