,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
2013-02-05,0.0366,-0.0124,0.1395,0.0034,0.131,0.0049,0.0344,-0.0005
2013-03-07,0.1045,0.0288,0.0006,0.0092,0.1707,0.0013,0.0246,-0.0004
2013-04-08,0.0267,0.0058,0.0784,0.0556,0.1007,0.0105,0.0155,0.0007
2013-05-07,0.0519,0.042,0.0133,0.0149,0.07,0.008,0.0,0.0001
2013-06-06,-0.0008,0.0005,0.2564,0.0637,0.0292,0.001,-0.0024,0.0258
2013-07-08,0.0084,0.1381,0.0001,0.3183,-0.0028,0.0178,0.001,0.0001
2013-08-06,0.052,0.1508,-0.0,0.2084,0.003,0.01,0.0001,0.001
2013-09-05,0.0777,0.2186,0.0137,0.1871,-0.001,0.0026,0.0008,0.006
2013-10-04,0.0386,0.2751,0.0029,0.0937,0.014,0.026,0.0044,0.0017
2013-11-04,0.0673,0.22,0.0205,0.1078,0.0243,0.0139,0.0052,0.0133
2013-12-04,0.1123,0.203,0.0062,0.0729,0.0274,0.0288,0.0026,0.0006
2014-01-06,0.194,0.1266,0.0106,0.034,0.0196,0.0387,0.0015,0.0021
2014-02-05,0.2001,0.1252,0.0642,0.0863,0.024,0.0137,0.0348,0.0001
2014-03-07,0.1235,0.0919,0.0436,0.0691,0.002,0.0009,0.0456,0.0004
2014-04-07,0.1368,0.1348,0.0074,0.0972,0.0059,0.0112,0.0368,0.0008
2014-05-07,0.1358,0.0983,0.0094,0.124,-0.0031,0.0091,0.0626,0.0082
2014-06-06,0.1442,0.1301,0.0118,0.1055,-0.0041,0.0153,0.0586,0.0018
2014-07-08,0.1234,0.1606,0.0008,0.1342,-0.005,0.0269,0.0634,0.005
2014-08-06,0.1606,0.0975,-0.0009,0.1686,-0.0039,0.0535,0.0322,0.0074
2014-09-05,0.1397,0.1357,-0.0013,0.1083,0.0024,0.0016,0.064,0.0012
2014-10-06,0.1767,0.1227,0.0045,0.1659,0.0166,0.0258,0.1556,0.0008
2014-11-04,0.2653,0.1967,-0.001,0.0662,0.0076,0.0155,0.0003,0.006
2014-12-04,0.0813,0.231,-0.0002,-0.0002,0.0273,0.0059,0.2523,-0.0002
2015-01-06,0.1242,0.0801,0.0108,0.0786,-0.0204,0.0455,0.3568,0.0
2015-02-05,0.0787,0.0998,0.0096,0.0293,0.0019,0.0228,0.2436,0.0025
2015-03-09,0.0236,0.3561,-0.0128,-0.0058,0.0185,0.0314,0.0874,0.0189
2015-04-08,0.1589,0.046,-0.0024,0.0154,0.0364,0.0117,0.1043,0.1283
2015-05-07,0.1931,0.021,-0.0003,0.0074,0.0903,-0.0108,0.1263,0.1197
2015-06-08,0.2284,0.032,0.0223,-0.0001,0.0096,-0.0086,0.2531,0.0289
2015-07-08,0.243,0.1559,-0.0083,0.0095,0.001,0.019,0.1635,0.0013
2015-08-06,0.365,0.0482,0.0568,0.0232,0.0053,0.001,0.0755,-0.0059
2015-09-04,0.1656,0.0291,0.2316,0.0616,0.0411,0.0076,-0.0001,0.0031
