,Factor Risk,Specific Risk,Predicted Volatility
2013-02-05,0.3009,0.6991,0.0659
2013-03-07,0.1823,0.8177,0.057
2013-04-08,0.152,0.848,0.0636
2013-05-07,0.1768,0.8232,0.0641
2013-06-06,0.291,0.709,0.0643
2013-07-08,0.5498,0.4502,0.0774
2013-08-06,0.6038,0.3962,0.0895
2013-09-05,0.5385,0.4615,0.0864
2013-10-04,0.49,0.51,0.0802
2013-11-04,0.4286,0.5714,0.0761
2013-12-04,0.4445,0.5555,0.0735
2014-01-06,0.4289,0.5711,0.0693
2014-02-05,0.4217,0.5783,0.0693
2014-03-07,0.3361,0.6639,0.0834
2014-04-07,0.4293,0.5707,0.08
2014-05-07,0.3829,0.6171,0.0772
2014-06-06,0.4133,0.5867,0.0734
2014-07-08,0.3412,0.6588,0.0663
2014-08-06,0.3772,0.6228,0.0672
2014-09-05,0.4427,0.5573,0.0708
2014-10-06,0.4428,0.5572,0.0647
2014-11-04,0.391,0.609,0.0829
2014-12-04,0.498,0.502,0.098
2015-01-06,0.5125,0.4875,0.0824
2015-02-05,0.34,0.66,0.0842
2015-03-09,0.2365,0.7635,0.073
2015-04-08,0.3883,0.6117,0.0777
2015-05-07,0.4898,0.5102,0.0843
2015-06-08,0.5161,0.4839,0.0845
2015-07-08,0.4943,0.5057,0.0788
2015-08-06,0.496,0.504,0.085
2015-09-04,0.66,0.34,0.0958
2015-10-06,0.6775,0.3225,0.0953
2015-11-04,0.7125,0.2875,0.1024
2015-12-04,0.6399,0.3601,0.0944
2016-01-06,0.6518,0.3482,0.0928
2016-02-05,0.6052,0.3948,0.0952
2016-03-08,0.5659,0.4341,0.0894
2016-04-07,0.6028,0.3972,0.0832
2016-05-06,0.5448,0.4552,0.0774
2016-06-07,0.5629,0.4371,0.0734
2016-07-07,0.5135,0.4865,0.0718
2016-08-05,0.5499,0.4501,0.0825
2016-09-06,0.5719,0.4281,0.0842
2016-10-05,0.7142,0.2858,0.1074
2016-11-03,0.7099,0.2901,0.1008
2016-12-05,0.5707,0.4293,0.1015
2017-01-05,0.4656,0.5344,0.1008
2017-02-06,0.4162,0.5838,0.0922
2017-03-08,0.3676,0.6324,0.0828
2017-04-06,0.3474,0.6526,0.0818
2017-05-08,0.3055,0.6945,0.0791
2017-06-07,0.2971,0.7029,0.0727
2017-07-07,0.305,0.695,0.0799
2017-08-07,0.2263,0.7737,0.0914
